735;albania/kategoria-superiore;albania-kategoria-superiore;Kategoria Superiore;ALBANIA: Kategoria Superiore;2
2632;albania/supercup;albania-supercup;Supercup;ALBANIA: Supercup;2
2237;albania/national-cup;albania-national-cup;National cup;ALBANIA: National cup;2
4451;albania/division-1;albania-division-1;Division 1;ALBANIA: Division 1;2
4452;albania/division-1-promotion-round;albania-division-1-promotion-round;Division 1, Promotion Round;ALBANIA: Division 1, Promotion Round;2
4453;albania/division-1-relegation-round;albania-division-1-relegation-round;Division 1, Relegation Round;ALBANIA: Division 1, Relegation Round;2
4593;albania/division-1-playoffs;albania-division-1-playoffs;Division 1, Playoffs;ALBANIA: Division 1, Playoffs;2
1106;algeria/ligue-1;algeria-ligue-1;Ligue 1;ALGERIA: Ligue 1;3
1715;algeria/national-cup;algeria-national-cup;National cup;ALGERIA: National cup;3
3102;algeria/ligue-2;algeria-ligue-2;Ligue 2;ALGERIA: Ligue 2;3
3611;andorra/1a-divisio-championship-group;andorra-1a-divisio-championship-group;1a Divisio, Championship Group;ANDORRA: 1a Divisio, Championship Group;5
3612;andorra/1a-divisio-relegation-group;andorra-1a-divisio-relegation-group;1a Divisio, Relegation Group;ANDORRA: 1a Divisio, Relegation Group;5
3610;andorra/primera-divisio;andorra-primera-divisio;Primera Divisio;ANDORRA: Primera Divisio;5
3614;andorra/national-cup;andorra-national-cup;National cup;ANDORRA: National cup;5
3615;andorra/supercup;andorra-supercup;Supercup;ANDORRA: Supercup;5
3613;andorra/1a-divisio-relegation;andorra-1a-divisio-relegation;1a Divisio, Relegation;ANDORRA: 1a Divisio, Relegation;5
3042;angola/girabola;angola-girabola;Girabola;ANGOLA: Girabola;6
3043;angola/supercup;angola-supercup;Supercup;ANGOLA: Supercup;6
920;argentina/primera-division;argentina-primera-division;Primera Division;ARGENTINA: Primera Division;9
2706;argentina/supercup;argentina-supercup;Supercup;ARGENTINA: Supercup;9
1190;argentina/primera-b-nacional-promotion-playoffs;argentina-primera-b-nacional-promotion-playoffs;Primera B Nacional, Promotion PlayOffs;ARGENTINA: Primera B Nacional, Promotion PlayOffs;9
4259;argentina/primera-b-metropolitana-promotion-playoffs;argentina-primera-b-metropolitana-promotion-playoffs;Primera B Metropolitana, Promotion Playoffs;ARGENTINA: Primera B Metropolitana, Promotion Playoffs;9
4428;argentina/copa-de-la-superliga;argentina-copa-de-la-superliga;Copa de la Superliga;ARGENTINA: Copa de la Superliga;9
4466;burkina-faso/premier-league;burkina-faso-premier-league;Premier League;BURKINA FASO: Premier League;208
1117;argentina/national-cup;argentina-national-cup;National cup;ARGENTINA: National cup;9
