7386;da-nang;Da Nang;200;Vietnam;club
22667;dabasgyon;Dabas-Gyon;86;Hungary;club
24798;daburiyya-osama;Daburiyya Osama;93;Israel;club
21233;dabas;Dabas;86;Hungary;club
6587;dac;DAC;164;Slovakia;club
18358;dachau;Dachau;74;Germany;club
23087;daciabuiucani;Dacia-Buiucani;124;Moldova;club
17312;dacogetica;Daco-Getica;151;Romania;club
23830;da-grande;Da Grande;117;Maldives;club
2254;dacia;Dacia;124;Moldova;club
6562;daegu-fc;Daegu FC;101;Korea Republic;club
1032;dc-united;D.C. United;194;United States;club
15057;daejeon-korail;Daejeon Korail;101;Korea Republic;club
9051;dagdizel-kaspiysk;Dagdizel Kaspiysk;152;Russia;club
616;dagenham-and-redbridge;Dagenham and Redbridge;60;England;club
20541;dagenham-and-redbridge-u23;Dagenham and Redbridge U-23;60;England;club
23227;dagon;Dagon;129;Myanmar;club
23347;dagsbergs-if;Dagsbergs IF;177;Sweden;club
10925;dainava;Dainava;111;Lithuania;club
7107;dakhlia;Dakhlia;58;Egypt;club
3625;dakovo;Dakovo;49;Croatia;club
2080;dalbeattie-star;Dalbeattie Star;159;Scotland;club
17124;dalhem-if;Dalhem IF;177;Sweden;club
22963;dalian-chanjoy;Dalian Chanjoy;41;China;club
12722;dalian-yifang;Dalian Yifang;41;China;club
15306;daejeon-sportstoto-w;Daejeon Sportstoto W;101;Korea Republic;club
15604;dalkurd;Dalkurd;177;Sweden;club
1030;dallas;Dallas;194;United States;club
19133;dalstorps;Dalstorps;177;Sweden;club
15142;dalum;Dalum;53;Denmark;club
19267;dalvik-reynir;Dalvik Reynir;87;Iceland;club
22816;dandenong-city;Dandenong City;12;Australia;club
6229;damash-guilan;Damash Guilan;90;Iran;club
7458;dandenong-thunder;Dandenong Thunder;12;Australia;club
23074;dankook-university;Dankook University;101;Korea Republic;club
2170;danubio;Danubio;195;Uruguay;club
2896;darica-genclerbirligi;Darica Genclerbirligi;188;Turkey;club
609;darlington;Darlington;60;England;club
17682;darmoty;Darmoty;164;Slovakia;club
15697;darmstadt-u19;Darmstadt U-19;74;Germany;club
913;darmstadt;Darmstadt;74;Germany;club
10140;dartford;Dartford;60;England;club
13460;darul-takzim;Darul Takzim;116;Malaysia;club
16471;darul-takzim2;Darul Takzim-2;116;Malaysia;club
23612;darwin-olympic;Darwin Olympic;12;Australia;club
20182;darwin-rovers;Darwin Rovers;12;Australia;club
18382;dassendorf;Dassendorf;74;Germany;club
2630;daugava;Daugava;105;Latvia;club
8932;daugava-d;Daugava D;105;Latvia;club
15369;dayton-dutch-lions-w;Dayton Dutch Lions W;194;United States;club
24035;dauphins-noirs;Dauphins Noirs;45;DR Congo;club
210;de-graafschap;De Graafschap;132;Netherlands;club
15996;de-graafschap-u23;De Graafschap U-23;132;Netherlands;club
22183;de-graafschap2;De Graafschap-2;132;Netherlands;club
14419;de-meern;De Meern;132;Netherlands;club
1985;de-treffers;De Treffers;132;Netherlands;club
356;debrecen;Debrecen;86;Hungary;club
6565;daejeon-citizen;Daejeon Citizen;101;Korea Republic;club
15739;debrecen2;Debrecen-2;0;;club
21409;dar-el-beida;Dar El Beida;3;Algeria;club
24631;def-de-pronunciamiento;Def. de Pronunciamiento;9;Argentina;club
6257;decic-tuzi;Decic Tuzi;216;Montenegro;club
18683;defence-force;Defence Force;186;Trinidad and Tobago;club
6637;defensa-y-justicia;Defensa y Justicia;9;Argentina;club
2334;defensor-sporting;Defensor Sporting;195;Uruguay;club
15574;defensores-belgrano;Defensores Belgrano;9;Argentina;club
24745;defensores-de-cambaceres;Defensores de Cambaceres;9;Argentina;club
1483;degerfor;Degerfor;177;Sweden;club
21888;defensores-unidos;Defensores Unidos;9;Argentina;club
1614;deinze;Deinze;20;Belgium;club
17365;dekani;Dekani;165;Slovenia;club
23354;deisenhofen;Deisenhofen;74;Germany;club
17007;dalian-transcendence;Dalian Transcendence;41;China;club
991;delemont;Delemont;178;Switzerland;club
24515;debrecen-u19;Debrecen U-19;86;Hungary;club
13617;delfines-carmen;Delfines Carmen;123;Mexico;club
23191;delfines-del-este;Delfines Del Este;56;Dominican Republic;club
14612;delhi-dynamos;Delhi Dynamos;88;India;club
19996;delin;Delin;152;Russia;club
12890;delta-porto-tolle;Delta Porto Tolle;94;Italy;club
23233;delta-force;Delta Force;137;Nigeria;club
13158;delta-tulcea;Delta Tulcea;151;Romania;club
14418;deltasport;Deltasport;132;Netherlands;club
1984;dem;DEM;132;Netherlands;club
1405;demir-grup-sivasspor;Demir Grup Sivasspor;188;Turkey;club
1620;demirspor-adana;Demirspor Adana;188;Turkey;club
21906;demirspor-adana-u21;Demirspor Adana U-21;188;Turkey;club
15764;demnya;Demnya;192;Ukraine;club
7883;dempo-sc;Dempo SC;88;India;club
12524;democrata;Democrata;28;Brasil;club
214;den-bosch;Den Bosch;132;Netherlands;club
23759;den-bosch2;Den Bosch-2;132;Netherlands;club
16641;denbigh-town;Denbigh Town;202;Wales;club
3078;delbruck;Delbruck;0;;club
401;denizlispor;Denizlispor;188;Turkey;club
2947;denizli-belediyespor;Denizli Belediyespor;188;Turkey;club
21912;denizlispor-u21;Denizlispor U-21;188;Turkey;club
-53;denmark;Denmark;53;Denmark;selection
14580;denmark-u16;Denmark U-16;53;Denmark;selection
2608;dender;Dender;20;Belgium;club
5947;denmark-u17;Denmark U-17;53;Denmark;selection
14421;denmark-u18;Denmark U-18;53;Denmark;selection
16966;def-la-bocana;Def. La Bocana;146;Peru;club
16963;delfin;Delfin;57;Ecuador;club
9068;denmark-u20;Denmark U-20;53;Denmark;selection
15000;denmark-u19-w;Denmark U-19 W;53;Denmark;selection
3947;denmark-u21;Denmark U-21;53;Denmark;selection
9067;denmark-u23;Denmark U-23;53;Denmark;selection
7440;denmark-w;Denmark W;53;Denmark;selection
24865;denver;Denver;176;Eswatini;club
2359;dep-colonia;Dep. Colonia;195;Uruguay;club
3415;dep-macara;Dep. Macara;57;Ecuador;club
2510;dep-maldonado;Dep. Maldonado;195;Uruguay;club
7340;dep-merlo;Dep. Merlo;9;Argentina;club
3329;dep-municipal;Dep. Municipal;146;Peru;club
14837;depor-fc;Depor FC;43;Colombia;club
15439;deportes-copiapo;Deportes Copiapo;40;Chile;club
3381;deportes-pereira;Deportes Pereira;43;Colombia;club
22960;deportes-santa-cruz;Deportes Santa Cruz;40;Chile;club
3382;deportes-quindio;Deportes Quindio;43;Colombia;club
15437;deportes-temuco;Deportes Temuco;40;Chile;club
1849;deportes-tolima;Deportes Tolima;43;Colombia;club
17182;deportes-valdivia;Deportes Valdivia;40;Chile;club
23346;deportes-vallenar;Deportes Vallenar;40;Chile;club
277;deportivo;Deportivo;169;Spain;club
15582;deportivo-armenio;Deportivo Armenio;9;Argentina;club
