18865;oakleigh-cannons-u20;Oakleigh Cannons U-20;12;Australia;club
15239;ob-odense-w;OB Odense W;53;Denmark;club
18419;oberachern;Oberachern;74;Germany;club
487;oberhausen;Oberhausen;74;Germany;club
15162;oberlausitz;Oberlausitz;74;Germany;club
17227;oberhausen-u19;Oberhausen U-19;74;Germany;club
6680;oberneuland;Oberneuland;74;Germany;club
15099;oberwart;Oberwart;13;Austria;club
653;ob-odense;OB Odense;53;Denmark;club
14956;obod;Obod;197;Uzbekistan;club
1161;obolonbrovar;Obolon-Brovar;192;Ukraine;club
23701;obolonbrovar2;Obolon-Brovar-2;192;Ukraine;club
15105;oborishte;Oborishte;30;Bulgaria;club
6277;ock-khouribga;OCK Khouribga;127;Morocco;club
6287;ocs-safi;OCS Safi;127;Morocco;club
385;odd;Odd;139;Norway;club
15632;odd-grenland2;Odd Grenland-2;139;Norway;club
15634;odda;Odda;139;Norway;club
14453;odder;Odder;53;Denmark;club
15610;oddevold;Oddevold;177;Sweden;club
22246;odemisspor;Odemisspor;188;Turkey;club
17389;odin-59;ODIN 59;132;Netherlands;club
17633;odishi;Odishi;73;Georgia;club
24462;odorheiu-secuiesc;Odorheiu Secuiesc;151;Romania;club
581;odra;Odra;147;Poland;club
3375;odra-opole;Odra Opole;147;Poland;club
20104;odra-opole-u19;Odra Opole U-19;147;Poland;club
20245;odra-petrkovice;Odra Petrkovice;52;Czech Republic;club
7829;odranci;Odranci;165;Slovenia;club
7170;oeste;Oeste;28;Brasil;club
20006;oedt;Oedt;13;Austria;club
18276;oberena;Oberena;169;Spain;club
12912;offenburger;Offenburger;74;Germany;club
22264;offenburger-u19;Offenburger U-19;74;Germany;club
729;ofi;OFI;76;Greece;club
22259;ofi-u19;OFI U-19;76;Greece;club
743;ofk-beograd;OFK Beograd;204;Serbia;club
20395;ofk-borac;OFK Borac;216;Montenegro;club
6256;ofk-petrovac;OFK Petrovac;216;Montenegro;club
6261;ofk-titograd;OFK Titograd;216;Montenegro;club
2937;ofspor;Ofspor;188;Turkey;club
2971;ohiggins;OHiggins;40;Chile;club
14924;ogre;Ogre;105;Latvia;club
15151;ob-odense2;OB Odense-2;53;Denmark;club
11415;ohrid;Ohrid;65;Rep. of Macedonia;club
15842;oiartzun-w;Oiartzun W;169;Spain;club
2597;oissel;Oissel;69;France;club
1512;oita-trinita;Oita Trinita;96;Japan;club
16244;ojc-rosmalen;OJC Rosmalen;132;Netherlands;club
19352;okc-energy;OKC Energy;194;United States;club
14407;oks;OKS;53;Denmark;club
10997;oktan;Oktan;152;Russia;club
14964;oktepa;Oktepa;197;Uzbekistan;club
6422;okzhepes;Okzhepes;98;Kazakhstan;club
21240;olajmunkas;Olajmunkas;86;Hungary;club
15667;olaine;Olaine;105;Latvia;club
15790;ol-dcheira;Ol. Dcheira;127;Morocco;club
17362;olbia;Olbia;94;Italy;club
15509;old-boys;Old Boys;178;Switzerland;club
15832;ohod;Ohod;158;Saudi Arabia;club
23959;oleiros;Oleiros;148;Portugal;club
606;oldham-athletic;Oldham Athletic;60;England;club
1162;oleksandria;Oleksandria;192;Ukraine;club
15215;oleksandria-u21;Oleksandria U-21;192;Ukraine;club
24484;olesnice;Olesnice;52;Czech Republic;club
6039;olhanense;Olhanense;148;Portugal;club
23563;olimp-khimki;Olimp Khimki;152;Russia;club
1388;olimpia;Olimpia;145;Paraguay;club
7502;oakleigh-cannons;Oakleigh Cannons;12;Australia;club
6249;olimpia-balti;Olimpia Balti;124;Moldova;club
16036;olimpia-cluj-w;Olimpia Cluj W;151;Romania;club
