23428;u-de-deportes;U. de Deportes;146;Peru;club
17157;uaem-potros;UAEM Potros;123;Mexico;club
8660;u-san-felipe;U. San Felipe;40;Chile;club
16944;uberlandia;Uberlandia;28;Brasil;club
21427;ubuntu-cape-town;Ubuntu Cape Town;168;South Africa;club
18925;ubon-umt;Ubon UMT;183;Thailand;club
11853;ucam-murcia;UCAM Murcia;169;Spain;club
18245;ucam-murcia2;UCAM Murcia-2;169;Spain;club
21526;ucc;UCC;92;Ireland;club
575;ucd;UCD;92;Ireland;club
20622;ucd-u19;UCD U-19;0;;club
20342;ud-ibiza;UD Ibiza;169;Spain;club
12945;ud-logrones;UD Logrones;169;Spain;club
15768;ucv;UCV;199;Venezuela;club
7565;ud-marbella;UD Marbella;169;Spain;club
21949;ud-ourense;UD Ourense;169;Spain;club
18228;ud-san-fernando;UD San Fernando;169;Spain;club
21974;ud-santa-marta;UD Santa Marta;169;Spain;club
18189;ud-san-pedro;UD San Pedro;169;Spain;club
19095;uddevalla;Uddevalla;177;Sweden;club
207;udinese;Udinese;94;Italy;club
17354;udi-19;UDI '19;132;Netherlands;club
21430;udon-thani;Udon Thani;183;Thailand;club
19323;ue-engordany;UE Engordany;5;Andorra;club
16518;udinese-u19;Udinese U-19;94;Italy;club
1066;ue-santa-julia;UE Santa Julia;5;Andorra;club
11200;ue-santa-coloma;UE Santa Coloma;5;Andorra;club
22165;ueberstorf;Ueberstorf;178;Switzerland;club
10657;ues;UES;59;El Salvador;club
892;uerdingen;Uerdingen;74;Germany;club
9007;ufa;Ufa;152;Russia;club
14182;ufad;Ufa-D;152;Russia;club
21857;ufa2;Ufa-2;152;Russia;club
-191;uganda;Uganda;191;Uganda;selection
5809;uganda-u17;Uganda U-17;0;;club
21749;uhersky-brod;Uhersky Brod;52;Czech Republic;club
2303;u-concepcion;U. Concepcion;40;Chile;club
18719;uitm;UiTM;116;Malaysia;club
17241;uj-krakow-w;UJ Krakow W;147;Poland;club
19060;ujana-u19;Ujana U-19;0;;club
563;ujpest;Ujpest;86;Hungary;club
16623;ujbuda;Ujbuda;86;Hungary;club
24450;u-craiova-1948;U Craiova 1948;151;Romania;club
18934;ukm;UKM;116;Malaysia;club
13102;ukragrokom;Ukragrokom;192;Ukraine;club
-192;ukraine;Ukraine;192;Ukraine;selection
5808;ukraine-u17;Ukraine U-17;192;Ukraine;selection
20834;ukraine-u17-w;Ukraine U-17 W;192;Ukraine;selection
4808;ukraine-u19;Ukraine U-19;192;Ukraine;selection
7106;ukraine-u18;Ukraine U-18;192;Ukraine;selection
15897;ua-falcon;UA Falcon;199;Venezuela;club
14929;ukraine-u20;Ukraine U-20;192;Ukraine;selection
3808;ukraine-u21;Ukraine U-21;192;Ukraine;selection
10765;ukraine-u23;Ukraine U-23;192;Ukraine;selection
17108;ukraine-united;Ukraine United;35;Canada;club
7437;ukraine-w;Ukraine W;192;Ukraine;selection
15418;ukraine-univ;Ukraine Univ.;192;Ukraine;selection
17242;uks-lodz-w;UKS Lodz W;147;Poland;club
20399;ula;ULA;199;Venezuela;club
14948;ukraine-u16;Ukraine U-16;192;Ukraine;selection
12760;ulinzi-stars;Ulinzi Stars;99;Kenya;club
6116;ulisses;Ulisses;10;Armenia;club
12955;ulisses-ii;Ulisses II;10;Armenia;club
6514;ullensaker-kisa;Ullensaker Kisa;139;Norway;club
19136;ullared;Ullared;177;Sweden;club
23049;ullensaker-kisa2;Ullensaker Kisa-2;139;Norway;club
15621;ullern;Ullern;139;Norway;club
23913;ulm-u19;Ulm U-19;74;Germany;club
7041;ulm;Ulm;74;Germany;club
6560;ulsan;Ulsan;101;Korea Republic;club
11154;ulsan-mipo;Ulsan Mipo;101;Korea Republic;club
23120;um-al-qotain;Um Al Qotain;97;Jordan;club
6979;umayya;Umayya;179;Syria;club
2986;umea;Umea;177;Sweden;club
7936;umea-w;Umea W;177;Sweden;club
23071;ulfarnir;Ulfarnir;87;Iceland;club
22847;umea-akademi;Umea Akademi;177;Sweden;club
11732;umraniyespor;Umraniyespor;188;Turkey;club
6318;umm-salal-sc;Umm Salal SC;150;Qatar;club
21916;umraniyespor-u21;Umraniyespor U-21;188;Turkey;club
18921;ums-de-loum;UMS de Loum;34;Cameroon;club
3652;una;UNA;132;Netherlands;club
7229;umf-alftanes;UMF Alftanes;87;Iceland;club
19177;ukraine-u19-w;Ukraine U-19 W;192;Ukraine;selection
16248;una-veldhoven;UNA Veldhoven;132;Netherlands;club
18738;undy-athletic;Undy Athletic;202;Wales;club
16599;ungheni;Ungheni;124;Moldova;club
23768;unia-skierniewice;Unia Skierniewice;147;Poland;club
18812;uniao-abc;Uniao ABC;28;Brasil;club
13553;una-strassen;UNA Strassen;112;Luxembourg;club
13471;uniao-barbarense;Uniao Barbarense;28;Brasil;club
16863;uniao-fc;Uniao FC;148;Portugal;club
6992;uniao-madeira;Uniao Madeira;148;Portugal;club
21366;uniao-pr;Uniao PR;28;Brasil;club
18807;uniao-rondonopolis;Uniao Rondonopolis;28;Brasil;club
23960;uniao-santarem;Uniao Santarem;148;Portugal;club
14730;uniao-rs;Uniao RS;28;Brasil;club
23497;unia-janikowo;Unia Janikowo;147;Poland;club
16947;uniclinic;Uniclinic;28;Brasil;club
1824;unichov;Unichov;52;Czech Republic;club
17195;union-aconquija;Union Aconquija;9;Argentina;club
18153;union-adarve;Union Adarve;169;Spain;club
15795;union-ait-melloul;Union Ait Melloul;127;Morocco;club
481;union-berlin;Union Berlin;74;Germany;club
12875;union-berlin-ii;Union Berlin II;74;Germany;club
23656;union-bremen;Union Bremen;74;Germany;club
10791;union-comercio;Union Comercio;146;Peru;club
17708;union-berlin-u19;Union Berlin U-19;74;Germany;club
19362;union-douala;Union Douala;34;Cameroon;club
24699;union-de-touarga;Union de Touarga;127;Morocco;club
2304;union-espanola;Union Espanola;40;Chile;club
22645;uniao-santiago;Uniao Santiago;148;Portugal;club
24330;union-feltre;Union Feltre;94;Italy;club
15224;union-kleinmunchen-w;Union Kleinmunchen W;13;Austria;club
10677;union-la-calera;Union La Calera;40;Chile;club
14831;union-magdalena;Union Magdalena;43;Colombia;club
22489;unia-hrubieszow;Unia Hrubieszow;147;Poland;club
14783;union-mar;Union Mar;9;Argentina;club
21853;union-nettetal;Union Nettetal;74;Germany;club
22776;umvoti;Umvoti;168;South Africa;club
2626;union-saintgilloise;Union Saint-Gilloise;20;Belgium;club
17218;union-furstenwalde;Union Furstenwalde;74;Germany;club
17414;union-sidi-kacem;Union Sidi Kacem;127;Morocco;club
11960;union-st-florian;Union St. Florian;13;Austria;club
17199;union-sunchales;Union Sunchales;9;Argentina;club
18227;union-sur-yaiza;Union Sur Yaiza;169;Spain;club
23444;union-tornesch;Union Tornesch;74;Germany;club
18239;union-viera;Union Viera;169;Spain;club
