13565;zabjelo;Zabjelo;216;Montenegro;club
13616;zacatepec;Zacatepec;123;Mexico;club
18055;zaccaria-w;Zaccaria W;94;Italy;club
3450;zaglebie-l;Zaglebie L;147;Poland;club
15942;zaglebie-l-u18;Zaglebie L U-18;147;Poland;club
23508;zaglebie-l2;Zaglebie L-2;147;Poland;club
15350;zaglebie-lubin-w;Zaglebie Lubin W;147;Poland;club
3401;zaglebie-sosnowiec;Zaglebie Sosnowiec;147;Poland;club
6901;zagora;Zagora;49;Croatia;club
17395;zagorec;Zagorec;49;Croatia;club
25011;zagorets;Zagorets;30;Bulgaria;club
660;zagreb;Zagreb;49;Croatia;club
16069;zajazi-zajas;Zajazi Zajas;65;Rep. of Macedonia;club
18646;zakho;Zakho;91;Iraq;club
6899;zakynthos;Zakynthos;76;Greece;club
566;zalaegerszeg;Zalaegerszeg;86;Hungary;club
349;zalgiris;Zalgiris;111;Lithuania;club
15673;zalgiris2;Zalgiris-2;111;Lithuania;club
6164;zamalek;Zamalek;58;Egypt;club
18122;zalla;Zalla;169;Spain;club
667;zadar;Zadar;49;Croatia;club
23888;zambia-u20-w;Zambia U-20 W;0;;club
24729;zambia-u23;Zambia U-23;0;;club
23903;zambia-w;Zambia W;0;;club
1762;zamora;Zamora;169;Spain;club
3493;zamora-fc;Zamora FC;199;Venezuela;club
17251;zamudio;Zamudio;169;Spain;club
18901;zanaco;Zanaco;206;Zambia;club
21411;zaouia;Zaouia;3;Algeria;club
19335;zaqatala;Zaqatala;14;Azerbaijan;club
273;zaragoza;Zaragoza;169;Spain;club
20378;zaragoza-u19;Zaragoza U-19;169;Spain;club
20525;zaragoza-w;Zaragoza W;169;Spain;club
12192;zaragoza2;Zaragoza-2;169;Spain;club
15856;zaraspor;Zaraspor;188;Turkey;club
15204;zarica;Zarica;165;Slovenia;club
14464;zaria;Zaria;124;Moldova;club
17638;zarkovo;Zarkovo;204;Serbia;club
23685;zarnovica;Zarnovica;164;Slovakia;club
20681;zavazna-poruba;Zavazna Poruba;164;Slovakia;club
12253;zavrc;Zavrc;165;Slovenia;club
11339;zawisza-bydgoszcz;Zawisza Bydgoszcz;147;Poland;club
15955;zawisza-bydgoszcz-u19;Zawisza Bydgoszcz U-19;147;Poland;club
11492;zbrojovka-b;Zbrojovka B.;52;Czech Republic;club
24549;zbrojovka-brno2;Zbrojovka Brno-2;52;Czech Republic;club
23740;zbuzany;Zbuzany;52;Czech Republic;club
24551;zdar-nad-sazavou;Zdar nad Sazavou;52;Czech Republic;club
20253;zdirec-nad-doubravou;Zdirec nad Doubravou;52;Czech Republic;club
14172;zebbug-rangers;Zebbug Rangers;119;Malta;club
20569;zejtun-corinthians;Zejtun Corinthians;119;Malta;club
13350;zelina;Zelina;49;Croatia;club
106;zeljeznicar;Zeljeznicar;26;Bosnia and Herzegovina;club
23723;zeljeznicar-banja-luka;Zeljeznicar Banja Luka;26;Bosnia and Herzegovina;club
20616;zeljeznicar-u19;Zeljeznicar U-19;0;;club
23573;zell-am-see;Zell am See;13;Austria;club
19583;zelzate;Zelzate;0;;club
-206;zambia;Zambia;206;Zambia;selection
7519;zemplin-michalovce;Zemplin Michalovce;164;Slovakia;club
104;zenit;Zenit;152;Russia;club
17271;zenit-irkutsk;Zenit Irkutsk;152;Russia;club
10998;zenit-izhevsk;Zenit Izhevsk;152;Russia;club
9013;zenit-penza;Zenit Penza;152;Russia;club
14877;zambia-u20;Zambia U-20;0;;club
13631;zenit-u19;Zenit U-19;0;;club
13627;zenit2;Zenit-2;152;Russia;club
22409;zenit-tallinn;Zenit Tallinn;63;Estonia;club
7309;zesco-united;ZESCO United;206;Zambia;club
3411;zestaponi;Zestaponi;73;Georgia;club
3435;zeta;Zeta;216;Montenegro;club
20568;zabbar-st-patrick;Zabbar St. Patrick;119;Malta;club
7357;zfc-meuselwitz;ZFC Meuselwitz;74;Germany;club
21511;zhejiang-greentown;Zhejiang Greentown;41;China;club
13104;zhemchuzhina-y;Zhemchuzhina Y;0;;club
3338;zhejiang-yiteng;Zhejiang Yiteng;41;China;club
14214;zhemchuzhina-ya;Zhemchuzhina Ya.;152;Russia;club
17189;zhemchuzhyna-od;Zhemchuzhyna Od.;192;Ukraine;club
6424;zhetysu;Zhetysu;98;Kazakhstan;club
21538;zhetysu2;Zhetysu-2;98;Kazakhstan;club
16044;zhytlobud1-w;Zhytlobud-1 W;0;;club
23509;zielona-gora;Zielona Gora;147;Poland;club
22961;zibo-sunday;Zibo Sunday;41;China;club
15952;zielona-gora-u19;Zielona Gora U-19;147;Poland;club
702;zilina;Zilina;164;Slovakia;club
22503;zilina-u19;Zilina U-19;0;;club
23523;zilina-w;Zilina W;164;Slovakia;club
747;zemun;Zemun;204;Serbia;club
15506;zilina2;Zilina-2;164;Slovakia;club
-207;zimbabwe;Zimbabwe;207;Zimbabwe;selection
23894;zimbabwe-u20-w;Zimbabwe U-20 W;0;;club
24731;zimbabwe-u23;Zimbabwe U-23;0;;club
17171;zimbabwe-w;Zimbabwe W;0;;club
330;zimbru;Zimbru;124;Moldova;club
20614;zimbru-u19;Zimbru U-19;0;;club
24117;zira2;Zira-2;14;Azerbaijan;club
15773;zira;Zira;14;Azerbaijan;club
17373;ziri;Ziri;165;Slovenia;club
1177;zirka;Zirka;192;Ukraine;club
7412;zirka-u21;Zirka U-21;192;Ukraine;club
23551;zirl;Zirl;13;Austria;club
20002;zirndorf;Zirndorf;0;;club
22792;zitouna-chammakh;Zitouna Chammakh;187;Tunisia;club
7709;zivanice;Zivanice;52;Czech Republic;club
386;zizkov;Zizkov;52;Czech Republic;club
2014;zlate-moravce;Zlate Moravce;164;Slovakia;club
20820;zlatibor-cajetina;Zlatibor Cajetina;204;Serbia;club
23636;zlate-moravce2;Zlate Moravce-2;164;Slovakia;club
1095;zlin;Zlin;52;Czech Republic;club
15140;zlin-u19;Zlin U-19;52;Czech Republic;club
19970;zlin-u21;Zlin U-21;52;Czech Republic;club
23386;zlin2;Zlin-2;52;Czech Republic;club
9015;znamia-truda;Znamia Truda;152;Russia;club
16585;zmaj-blato;Zmaj Blato;49;Croatia;club
23770;znicz-biala-piska;Znicz Biala Piska;147;Poland;club
17236;znicz-pruszkow-u19;Znicz Pruszkow U-19;147;Poland;club
3466;znicz-pruszkow;Znicz Pruszkow;147;Poland;club
15121;znojmo-u21;Znojmo U-21;52;Czech Republic;club
6224;zob-ahan;Zob Ahan;90;Iran;club
15851;zonguldak-komurspor;Zonguldak Komurspor;188;Turkey;club
2902;zonguldakspor;Zonguldakspor;188;Turkey;club
